altitude,filtered_a,filtered_s,filtered_v,gx,gy,gz,latitude,longitude,state,temperature
1272.882,0.006,1272.983,0.009,-0.002,0.021,0.017,0,0,0,45.024
1272.882,0.006,1272.983,0.009,-0.002,0.021,0.017,0,0,0,45.024
1272.882,0.006,1272.983,0.009,-0.002,0.021,0.017,0,0,0,45.024
1272.906,0.006,1272.979,0.008,-0.011,0.017,0.018,0,0,0,45.018
1272.906,0.006,1272.979,0.008,-0.011,0.017,0.018,0,0,0,45.018
1272.902,0.006,1272.976,0.008,0.007,0.02,0.017,0,0,0,45.027
1272.902,0.006,1272.976,0.008,0.007,0.02,0.017,0,0,0,45.027
1272.948,0.007,1272.976,0.009,-0.008,0.019,0.017,0,0,0,45.024
1272.948,0.007,1272.976,0.009,-0.008,0.019,0.017,0,0,0,45.024
1272.948,0.007,1272.977,0.01,-0.006,0.019,0.018,0,0,0,45.027
1272.948,0.007,1272.977,0.01,-0.006,0.019,0.018,0,0,0,45.027
1272.939,0.007,1272.977,0.011,0.008,0.018,0.017,0,0,0,45.033
1272.939,0.007,1272.977,0.011,0.008,0.018,0.017,0,0,0,45.033
1272.845,0.007,1272.968,0.008,-0.008,0.018,0.018,0,0,0,45.036
1272.845,0.007,1272.968,0.008,-0.008,0.018,0.018,0,0,0,45.036
1272.845,0.007,1272.968,0.008,-0.008,0.018,0.018,0,0,0,45.036
1272.845,0.006,1272.961,0.006,-0.003,0.02,0.018,0,0,0,45.024
1272.845,0.006,1272.961,0.006,-0.003,0.02,0.018,0,0,0,45.024
1272.845,0.006,1272.953,0.004,0.003,0.018,0.016,0,0,0,45.03
1272.845,0.006,1272.953,0.004,0.003,0.018,0.016,0,0,0,45.03
1272.789,0.005,1272.942,0,-0.003,0.019,0.017,0,0,0,45.024
1272.789,0.005,1272.942,0,-0.003,0.019,0.017,0,0,0,45.024
1272.776,0.004,1272.93,-0.005,-0.011,0.018,0.018,0,0,0,45.036
1272.776,0.004,1272.93,-0.005,-0.011,0.018,0.018,0,0,0,45.036
1272.87,0.004,1272.926,-0.005,0.005,0.019,0.017,0,0,0,45.033
1272.87,0.004,1272.926,-0.005,0.005,0.019,0.017,0,0,0,45.033
1272.87,0.004,1272.923,-0.005,0.001,0.019,0.017,0,0,0,45.036
1272.87,0.004,1272.923,-0.005,0.001,0.019,0.017,0,0,0,45.036
1272.87,0.004,1272.923,-0.005,0.001,0.019,0.017,0,0,0,45.036
1272.87,0.005,1272.92,-0.004,-0.01,0.019,0.018,0,0,0,45.036
1272.87,0.005,1272.92,-0.004,-0.01,0.019,0.018,0,0,0,45.036
1272.846,0.005,1272.916,-0.005,0.007,0.019,0.017,0,0,0,45.03
1272.846,0.005,1272.916,-0.005,0.007,0.019,0.017,0,0,0,45.03
1272.841,0.005,1272.911,-0.006,-0.003,0.019,0.017,0,0,0,45.039
1272.841,0.005,1272.911,-0.006,-0.003,0.019,0.017,0,0,0,45.039
1272.841,0.005,1272.906,-0.006,-0.006,0.019,0.017,0,0,0,45.036
1272.841,0.005,1272.906,-0.006,-0.006,0.019,0.017,0,0,0,45.036
1272.779,0.004,1272.897,-0.009,0.002,0.019,0.017,0,0,0,45.039
1272.779,0.004,1272.897,-0.009,0.002,0.019,0.017,0,0,0,45.039
1272.766,0.004,1272.887,-0.012,-0.004,0.019,0.018,0,0,0,45.042
1272.766,0.004,1272.887,-0.012,-0.004,0.019,0.018,0,0,0,45.042
1272.752,0.003,1272.876,-0.015,-0.002,0.019,0.017,0,0,0,45.039
1272.752,0.003,1272.876,-0.015,-0.002,0.019,0.017,0,0,0,45.039
1272.752,0.003,1272.867,-0.018,0.001,0.019,0.017,0,0,0,45.042
1272.752,0.003,1272.867,-0.018,0.001,0.019,0.017,0,0,0,45.042
1272.758,0.002,1272.858,-0.02,-0.005,0.019,0.017,0,0,0,45.051
1272.758,0.002,1272.858,-0.02,-0.005,0.019,0.017,0,0,0,45.051
1272.707,0.002,1272.845,-0.024,0.001,0.019,0.017,0,0,0,45.056
1272.707,0.002,1272.845,-0.024,0.001,0.019,0.017,0,0,0,45.056
1272.707,0.001,1272.833,-0.027,0,0.019,0.017,0,0,0,45.056
1272.707,0.001,1272.833,-0.027,0,0.019,0.017,0,0,0,45.056
1272.729,0.001,1272.824,-0.029,-0.001,0.019,0.017,0,0,0,45.056
1272.729,0.001,1272.824,-0.029,-0.001,0.019,0.017,0,0,0,45.056
1272.729,0.001,1272.824,-0.029,-0.001,0.019,0.017,0,0,0,45.056
1272.729,0.001,1272.815,-0.031,-0.003,0.018,0.018,0,0,0,45.059
1272.729,0.001,1272.815,-0.031,-0.003,0.018,0.018,0,0,0,45.059
1272.728,0.001,1272.807,-0.032,0.001,0.019,0.017,0,0,0,45.062
1272.728,0.001,1272.807,-0.032,0.001,0.019,0.017,0,0,0,45.062
1272.803,0.001,1272.806,-0.03,-0.004,0.019,0.017,0,0,0,45.065
1272.803,0.001,1272.806,-0.03,-0.004,0.019,0.017,0,0,0,45.065
1272.792,0.002,1272.804,-0.029,-0.003,0.019,0.017,0,0,0,45.068
1272.792,0.002,1272.804,-0.029,-0.003,0.019,0.017,0,0,0,45.068
1272.792,0.003,1272.803,-0.027,0.002,0.019,0.017,0,0,0,45.074
1272.792,0.003,1272.803,-0.027,0.002,0.019,0.017,0,0,0,45.074
1272.773,0.003,1272.8,-0.026,-0.002,0.019,0.017,0,0,0,45.062
1272.773,0.003,1272.8,-0.026,-0.002,0.019,0.017,0,0,0,45.062
1272.77,0.004,1272.797,-0.025,-0.001,0.019,0.017,0,0,0,45.056
1272.77,0.004,1272.797,-0.025,-0.001,0.019,0.017,0,0,0,45.056
1272.765,0.004,1272.795,-0.024,-0.001,0.019,0.017,0,0,0,45.062
1272.765,0.004,1272.795,-0.024,-0.001,0.019,0.017,0,0,0,45.062
1272.765,0.004,1272.792,-0.023,-0.003,0.019,0.018,0,0,0,45.062
1272.765,0.004,1272.792,-0.023,-0.003,0.019,0.018,0,0,0,45.062
1272.756,0.005,1272.789,-0.022,-0.001,0.019,0.017,0,0,0,45.056
1272.756,0.005,1272.789,-0.022,-0.001,0.019,0.017,0,0,0,45.056
1272.738,0.005,1272.785,-0.022,-0.002,0.019,0.017,0,0,0,45.062
1272.738,0.005,1272.785,-0.022,-0.002,0.019,0.017,0,0,0,45.062
1272.734,0.005,1272.781,-0.021,-0.001,0.02,0.018,0,0,0,45.062
1272.734,0.005,1272.781,-0.021,-0.001,0.02,0.018,0,0,0,45.062
1272.734,0.005,1272.781,-0.021,-0.001,0.02,0.018,0,0,0,45.062
1272.734,0.006,1272.777,-0.021,-0.002,0.018,0.017,0,0,0,45.077
1272.734,0.006,1272.777,-0.021,-0.002,0.018,0.017,0,0,0,45.077
1272.813,0.007,1272.78,-0.017,-0.002,0.02,0.017,0,0,0,45.074
1272.813,0.007,1272.78,-0.017,-0.002,0.02,0.017,0,0,0,45.074
1272.804,0.008,1272.783,-0.013,-0.003,0.018,0.018,0,0,0,45.071
1272.804,0.008,1272.783,-0.013,-0.003,0.018,0.018,0,0,0,45.071
1272.679,0.007,1272.775,-0.015,0.003,0.019,0.017,0,0,0,45.074
1272.679,0.007,1272.775,-0.015,0.003,0.019,0.017,0,0,0,45.074
1272.685,0.007,1272.768,-0.016,-0.003,0.019,0.018,0,0,0,45.077
1272.685,0.007,1272.768,-0.016,-0.003,0.019,0.018,0,0,0,45.077
1272.685,0.007,1272.762,-0.016,-0.002,0.019,0.018,0,0,0,45.083
1272.685,0.007,1272.762,-0.016,-0.002,0.019,0.018,0,0,0,45.083
1272.755,0.008,1272.762,-0.014,0.003,0.02,0.017,0,0,0,45.062
1272.755,0.008,1272.762,-0.014,0.003,0.02,0.017,0,0,0,45.062
1272.762,0.009,1272.763,-0.011,-0.011,0.02,0.018,0,0,0,45.068
1272.762,0.009,1272.763,-0.011,-0.011,0.02,0.018,0,0,0,45.068
1272.721,0.009,1272.76,-0.01,-0.005,0.019,0.017,0,0,0,45.074
1272.721,0.009,1272.76,-0.01,-0.005,0.019,0.017,0,0,0,45.074
1272.721,0.009,1272.758,-0.009,0.017,0.018,0.017,0,0,0,45.083
1272.721,0.009,1272.758,-0.009,0.017,0.018,0.017,0,0,0,45.083
1272.709,0.009,1272.755,-0.008,-0.019,0.02,0.018,0,0,0,45.077
1272.709,0.009,1272.755,-0.008,-0.019,0.02,0.018,0,0,0,45.077
1272.732,0.01,1272.755,-0.006,-0.003,0.019,0.017,0,0,0,45.071
1272.732,0.01,1272.755,-0.006,-0.003,0.019,0.017,0,0,0,45.071
1272.732,0.01,1272.755,-0.006,-0.003,0.019,0.017,0,0,0,45.071
1272.716,0.01,1272.753,-0.005,0.01,0.018,0.016,0,0,0,45.077
1272.716,0.01,1272.753,-0.005,0.01,0.018,0.016,0,0,0,45.077
1272.716,0.011,1272.752,-0.004,-0.011,0.019,0.018,0,0,0,45.086
1272.716,0.011,1272.752,-0.004,-0.011,0.019,0.018,0,0,0,45.086
1272.716,0.011,1272.75,-0.002,-0.006,0.019,0.017,0,0,0,45.083
1272.716,0.011,1272.75,-0.002,-0.006,0.019,0.017,0,0,0,45.083
1272.719,0.011,1272.749,-0.001,0.005,0.018,0.017,0,0,0,45.08
1272.719,0.011,1272.749,-0.001,0.005,0.018,0.017,0,0,0,45.08
1272.723,0.012,1272.749,0.001,-0.007,0.019,0.018,0,0,0,45.083
1272.723,0.012,1272.749,0.001,-0.007,0.019,0.018,0,0,0,45.083
1272.723,0.012,1272.749,0.003,-0.001,0.018,0.017,0,0,0,45.08
1272.723,0.012,1272.749,0.003,-0.001,0.018,0.017,0,0,0,45.08
1272.718,0.013,1272.749,0.005,0.008,0.018,0.017,0,0,0,45.086
1272.718,0.013,1272.749,0.005,0.008,0.018,0.017,0,0,0,45.086
1272.708,0.013,1272.748,0.006,-0.012,0.019,0.018,0,0,0,45.077
1272.708,0.013,1272.748,0.006,-0.012,0.019,0.018,0,0,0,45.077
1272.707,0.013,1272.747,0.008,-0.003,0.02,0.018,0,0,0,45.086
1272.707,0.013,1272.747,0.008,-0.003,0.02,0.018,0,0,0,45.086
1272.707,0.014,1272.747,0.009,0.006,0.018,0.017,0,0,0,45.092
1272.707,0.014,1272.747,0.009,0.006,0.018,0.017,0,0,0,45.092
1272.675,0.014,1272.744,0.009,-0.004,0.019,0.017,0,0,0,45.101
1272.675,0.014,1272.744,0.009,-0.004,0.019,0.017,0,0,0,45.101
1272.676,0.014,1272.741,0.01,0.001,0.019,0.017,0,0,0,45.089
1272.676,0.014,1272.741,0.01,0.001,0.019,0.017,0,0,0,45.089
1272.676,0.014,1272.741,0.01,0.001,0.019,0.017,0,0,0,45.089
1272.737,0.014,1272.744,0.013,0,0.02,0.017,0,0,0,45.092
1272.737,0.014,1272.744,0.013,0,0.02,0.017,0,0,0,45.092
